연도,월,실제평균기온(℃),예측평균기온(℃)
2024,1,-0.5,10.40178628073961
2024,2,3.8,11.169094517806755
2024,3,7.0,11.9364027548739
2024,4,16.3,12.703710991941046
2024,5,18.5,13.471019229008192
2024,6,24.6,14.238327466075337
2024,7,26.6,15.005635703142481
2024,8,29.3,15.772943940209625
2024,9,25.5,16.54025217727677
2024,10,16.7,17.307560414343918
2024,11,9.7,18.07486865141106
2024,12,0.8,18.842176888478207
2025,1,-0.4,10.493051781280782
2025,2,-1.2,11.260360018347928
