기온분석,,,,
[검색조건],,,,
자료구분 : 월,,,,
자료형태 : 기본,,,,
지역/지점 : 보성군,,,,
기간 : 1973~2025 01~12,,,,
,,,,
년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
"			2020-12",258,3.2,-2.4,9.1
"			2021-01",258,2,-3.3,8
"			2021-02",258,5.5,-0.3,11.9
"			2021-03",258,10.5,4.6,16.4
"			2021-04",258,13.9,7.8,20
"			2021-05",258,17.9,12.6,23.3
"			2021-06",258,22.9,18.9,27.4
"			2021-07",258,26.6,23.1,30.6
"			2021-08",258,26.3,23,30.7
"			2021-09",258,22.7,19.1,27
"			2021-10",258,17,11.7,23.3
"			2021-11",258,10.1,4.3,16.7
"			2021-12",258,4.3,-1.4,10.5
"			2022-01",258,2.3,-2.8,8
"			2022-02",258,2.5,-3.1,8.2
"			2022-03",258,9.2,3.1,15.6
"			2022-04",258,14.7,8.1,21.2
"			2022-05",258,18.6,11.8,25.4
"			2022-06",258,23.1,19.7,27.4
"			2022-07",258,26.9,23.7,31
"			2022-08",258,26.6,23.3,30.5
"			2022-09",258,22.5,18.2,27.5
"			2022-10",258,15.6,10,22
"			2022-11",258,11.5,5.2,18.6
"			2022-12",258,2,-2.5,6.8
"			2023-01",258,2.1,-3.2,8
"			2023-02",258,4.6,-1,10.9
"			2023-03",258,10.2,3.3,17.6
"			2023-04",258,13.4,7,19.5
"			2023-05",258,18.1,13.1,23.4
"			2023-06",258,23,19.2,27.6
"			2023-07",258,25.8,23.2,29.1
"			2023-08",258,27.5,23.7,32.1
"			2023-09",258,24,20.4,28.7
"			2023-10",258,16.3,10.5,23.1
"			2023-11",258,9.8,4.5,15.5
"			2023-12",258,4.6,-0.4,10.2
"			2024-01",258,3.4,-1.2,8.2
"			2024-02",258,6.1,1.9,10.8
"			2024-03",258,8.3,2.5,14.1
"			2024-04",258,15.1,9.4,20.9
"			2024-05",258,18.4,12.2,24.7
"			2024-06",258,23,18.8,27.8
"			2024-07",258,26.9,24.3,30.5
"			2024-08",258,28.7,24.8,33.8
"			2024-09",258,26.1,22.3,30.9
"			2024-10",258,18,13.4,23.3
"			2024-11",258,11.7,6.6,17.2
"			2024-12",258,4.2,-0.6,9.5
"			2025-01",258,1.8,-4.1,7.9
"			2025-02",258,1.6,-3.3,7
"			2025-03",258,,,
"			",,,,
