ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
"202412","식빵이야기","제주시","연동","제주시내","간식","베이커리","0.30000","3.05000","0.00000","0.06000","0.07000","0.79000","-0.79000","7668.00000","다다05a00a"
"202412","폴 바셋 제주용담DT점","제주시","용담2동","제주시내","음료","카페","3.02000","23.84000","0.80000","6.90000","1.35000","11.95000","-11.95000","9783.00000","다다05b03a"
"202412","에이바우트커피삼무공원점","제주시","연동","제주시내","음료","커피","0.98000","18.19000","0.18000","3.28000","0.37000","7.32000","-7.32000","9719.00000","다다06a00a"
"202412","미스터피자제주점","제주시","연동","제주시내","패스트푸드","피자","0.13000","0.45000","0.01000","0.06000","0.04000","0.16000","-0.16000","3672.00000","다나06a99a"
"202412","대명수산 연동 야시장점","제주시","연동","제주시내","한식","회","0.06000","0.25000","0.02000","0.06000","0.03000","0.12000","-0.12000","3060.00000","다다06a00a"
"202412","만두쟁이","서귀포시","효돈동","서귀포시내","한식","만두","0.31000","2.43000","0.02000","0.15000","0.08000","0.72000","-0.72000","7466.00000","다나17b75a"
"202412","아라평화","제주시","아라동","제주시내","아시아음식","중식당","0.21000","0.68000","0.00000","0.02000","0.05000","0.18000","-0.18000","3897.00000","다나11a98a"
"202412","탐나요","제주시","아라동","제주시내","음료","카페","0.15000","1.19000","0.00000","0.03000","0.03000","0.31000","-0.31000","5371.00000","다나11a98b"
"202412","탐나는숯불갈비","제주시","일도2동","제주시내","한식","갈비","0.98000","1.02000","0.04000","0.07000","0.25000","0.31000","-0.31000","5372.00000","다다11a01b"
"202412","투썸플레이스 제주대학병원점","제주시","아라동","제주시내","음료","커피","1.26000","10.85000","0.06000","0.72000","0.33000","3.25000","-3.25000","9384.00000","다나11a97b"
"202412","미세스테라","제주시","아라동","제주시내","음료","카페","0.26000","1.64000","0.00000","0.02000","0.06000","0.41000","-0.41000","6079.00000","다나11a99b"
"202412","스윗대디","제주시","이도2동","제주시내","한식","가정식","0.07000","0.23000","0.00000","0.00000","0.02000","0.05000","-0.05000","1620.00000","다다11b00b"
"202412","크림비어","제주시","이도2동","제주시내","주점및주류판매","호프/맥주","0.17000","0.40000","0.00000","0.00000","0.04000","0.09000","-0.09000","2529.00000","다다11b00b"
"202412","제주호떡","제주시","일도2동","제주시내","한식","가정식","0.05000","0.67000","0.00000","0.02000","0.01000","0.17000","-0.17000","3771.00000","다다11b01a"
"202412","이돈갓아라점","제주시","아라동","제주시내","아시아음식","돈까스","0.30000","1.58000","0.01000","0.07000","0.07000","0.45000","-0.45000","6297.00000","다나11b98a"
"202412","페리카나중문점","서귀포시","중문동","서귀포시내","패스트푸드","치킨","1.38000","2.26000","0.06000","0.15000","0.35000","0.68000","-0.68000","7340.00000","나나99b73b"
"202412","수","제주시","노형동","제주시내","음료","카페","1.83000","0.23000","0.00000","0.00000","0.40000","0.05000","-0.05000","1621.00000","다나04a99a"
"202412","에스비지 클럽","제주시","오라동","제주시내","한식","가정식","0.05000","0.79000","0.00000","0.02000","0.01000","0.21000","-0.21000","4304.00000","다나07b99a"
"202412","뚜레쥬르도남점","제주시","이도2동","제주시내","간식","베이커리","1.12000","7.80000","0.02000","0.13000","0.26000","1.99000","-1.99000","9057.00000","다다09b00b"
"202412","삼바리제주시청점","제주시","이도2동","제주시내","한식","가정식","2.74000","3.09000","0.17000","0.17000","0.74000","0.90000","-0.90000","7936.00000","다다09b01a"
"202412","분더컴퍼니","제주시","이도2동","제주시내","간식","분식","0.02000","0.06000","0.00000","0.00000","0.00000","0.01000","-0.01000","412.00000","다다10b00b"
"202412","제라진김밥","제주시","아라동","제주시내","간식","분식","0.41000","4.45000","0.01000","0.16000","0.10000","1.22000","-1.22000","8457.00000","다나11b98b"
"202412","솜반내횟집","서귀포시","서홍동","서귀포시내","한식","회","0.31000","0.34000","0.04000","0.10000","0.10000","0.18000","-0.18000","3898.00000","다나11b74a"
"202412","황금코다리 제주화북점","제주시","화북동","제주시내","한식","가정식","0.10000","0.23000","0.00000","0.00000","0.02000","0.06000","-0.06000","1801.00000","다다12a02b"
"202412","제주시듬삭헌국밥집","제주시","화북동","제주시내","한식","국밥","0.33000","2.26000","0.01000","0.04000","0.08000","0.58000","-0.58000","6959.00000","다다12b03a"
"202412","이조제주면옥","서귀포시","천지동","서귀포시내","한식","가정식","0.10000","0.62000","0.01000","0.06000","0.03000","0.20000","-0.20000","4221.00000","다나12a73b"
"202412","흑돼지비비큐(BBQ)본점","서귀포시","천지동","서귀포시내","한식","돼지고기","0.25000","0.28000","0.87000","1.14000","0.80000","1.10000","-1.10000","8281.00000","다나12a73a"
"202412","규방","제주시","연동","제주시내","주점및주류판매","포장마차","0.83000","1.98000","0.02000","0.04000","0.20000","0.51000","-0.51000","6664.00000","다다06a00b"
"202412","카페연연","제주시","연동","제주시내","음료","커피","0.07000","1.25000","0.01000","0.14000","0.02000","0.43000","-0.43000","6231.00000","다다06a00a"
"202412","올레길밥상","서귀포시","대천동","서귀포시내","한식","백반/가정식","0.13000","0.51000","0.09000","0.28000","0.10000","0.38000","-0.38000","5877.00000","다나07a71b"
"202412","더샵아이스크림할인점 신서귀점","서귀포시","대천동","서귀포시내","간식","아이스크림/빙수","0.20000","3.90000","0.01000","0.21000","0.05000","1.12000","-1.12000","8324.00000","다나07b74a"
"202412","컴포즈커피서귀포혁신도시점","서귀포시","대륜동","서귀포시내","음료","커피","0.52000","16.72000","0.05000","1.77000","0.16000","5.60000","-5.60000","9630.00000","다나07b73b"
"202412","돈수육","서귀포시","대륜동","서귀포시내","한식","돼지고기","0.75000","1.64000","0.22000","0.49000","0.35000","0.84000","-0.84000","7794.00000","다나07b74b"
"202412","교촌치킨 오라점","제주시","오라동","제주시내","패스트푸드","치킨","0.22000","0.99000","0.00000","0.02000","0.05000","0.25000","-0.25000","4778.00000","다다08b00a"
"202412","산전수전","제주시","삼도2동","제주시내","한식","가정식","0.54000","0.85000","0.02000","0.04000","0.14000","0.24000","-0.24000","4706.00000","다다09a02a"
"202412","대박푸줏간","서귀포시","중앙동","서귀포시내","한식","백반/가정식","0.07000","0.16000","0.03000","0.05000","0.04000","0.08000","-0.08000","2290.00000","다나12b73b"
"202412","서귀포백돼지","서귀포시","송산동","서귀포시내","한식","돼지고기","0.03000","0.06000","0.12000","0.25000","0.11000","0.24000","-0.24000","4707.00000","다나12b72b"
"202412","원카페","제주시","아라동","제주시내","음료","커피","0.14000","2.99000","0.00000","0.09000","0.03000","0.80000","-0.80000","7702.00000","다나13b96a"
