번호,야영장명,사업주체_구분,도,시군구,주소,연락처 앞자리,연락처 중간자리,연락처 끝자리,주요시설 일반야영장,주요시설 자동차야영장,주요시설 글램핑,주요시설 카라반,주요시설 개인 카라반,주요시설 덤프스테이션,사이트 크기1 가로,사이트 크기2 가로,사이트 크기3 가로,사이트 크기1 세로,사이트 크기2 세로,사이트 크기3 세로,사이트 크기1 수량,사이트 크기2 수량,사이트 크기3 수량,인허가일자,화로대,부대시설,주변이용가능시설,소화기 개수,방화수 개수,방화사 개수,화재감지기 개수,테마환경,캠핑장비대여,반려동물출입
1,(주)디노담양힐링파크 지점,민간,전라남도,담양군,전남 담양군 봉산면 탄금길 9-26,61,383,5155,2,0,22,2,0,0,4,6,0,6,7,0,13,11,0,2016-10-27,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동시설,마트_편의점","운동장,강/물놀이,농어촌체험시설",20,2,1,24,"낚시,여름물놀이",,불가능
2,(주)아웃오브파크,민간,강원도,춘천시,강원도 춘천시 남면 가옹개길 52-9,1522,1861,,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,2017-09-18,개별,운동시설,수영장,0,0,0,0,,,불가능
3,(주)양촌여울체험캠프,민간,경상남도,창원시,경상남도 창원시 마산합포구 진전면 의산삼일로 60,55,271,2012,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-12-19,개별,"전기,온수,물놀이장,산책로,마트_편의점","산책로,농어촌체험시설",0,0,0,0,,,가능(소형견)
4,(주)어반슬로우시티,민간,강원도,춘천시,강원도 춘천시 남면 가옹개길 108 ,1899,9349,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-08-04,개별,,,0,0,0,0,,,불가능
5,이스케이프 지점 (휴토피아),민간,강원도,홍천군,강원도 홍천군 서면 팔봉산로 976,1599,7130,,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2016-04-29,개별,"전기,무선인터넷,장작판매,온수,물놀이장,마트_편의점","낚시,강/물놀이",17,0,0,17,가을단풍명소,,불가능
6,드림랜드오토캠핑장,민간,경상북도,영천시,경북 영천시 고경면 고도길 38,,,,135,135,17,0,0,0,7,0,0,7,0,0,110,0,0,2010-01-11,공동취사장,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트_편의점","산책로,강/물놀이,청소년체험시설",15,0,0,10,"봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길","텐트,릴선,화로대,난방기구,식기",가능
7,제주 자연인 글램핑,민간,제주특별자치도,제주시,제주특별자치도 제주시 아란서길 110-0 ,,,,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,2016-08-26,,운동시설,,0,0,0,0,,,불가능
8,(주)태평소금 천일염 힐링캠프,민간,전라남도,신안군,전라남도 신안군 증도면 지도증도로 1053-11 ,61,275,1596,9,0,0,10,0,0,6,0,0,6,0,0,9,0,0,2016-05-11,개별,"전기,장작판매,온수,물놀이장,놀이터,마트_편의점","산책로,낚시,해수욕,청소년체험시설",20,0,0,10,"일출명소,일몰명소,낚시,걷기길",화로대,불가능
9,505펜션&캠핑(오공오),민간,충청남도,공주시,충남 공주시 사곡면 호계황골길 43,,,,22,0,0,0,0,0,6,0,0,7,0,0,0,0,0,2015-05-20,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트_편의점","계곡 물놀이,낚시",40,0,0,0,"액티비티,여름물놀이","릴선,난방기구",불가능
10,80 SS 오토캠핑장,민간,대구광역시,군위군,경북 군위군 부계면 남산리 1138-4번지,54,382,7,14,10,7,0,0,0,4,0,0,6,0,0,24,0,0,2016-08-05,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",산책로,40,0,0,7,여름물놀이,"릴선,화로대,난방기구,식기",불가능
11,A&J오토캠핑장,민간,강원도,원주시,강원도 원주시 지정면 안창리 산 56-3,33,733,7770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-18,,전기,,0,0,0,0,,,불가능
12,Camp 1950,민간,경상북도,김천시,경북 김천시 대덕면 남김천대로 160,55,942,5006,9,0,11,0,0,0,3,0,0,6,0,0,9,0,0,2017-04-27,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트_편의점","계곡 물놀이,산책로,어린이놀이시설",22,1,1,18,여름물놀이,"텐트,릴선,화로대,난방기구,식기,침낭",불가능
13,CLUB 596,민간,충청남도,태안군,충남 태안군 남면 몽산리 596,,,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2017-08-01,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로","산책로,수상레저,낚시,해수욕",8,0,0,6,"일몰명소,여름물놀이,걷기길",,불가능
14,DMZ 마루캠핑,민간,경기도,연천군,경기도 연천군 중면 군중로 399,,,,30,0,0,0,0,0,9,0,0,9,0,0,30,0,0,2017-09-28,,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설","계곡 물놀이,낚시,청소년체험시설",20,0,0,0,,,불가능
15,DMZ 캠핑장,민간,강원도,철원군,강원도 철원군 철원읍 독서당길 225-134 ,,,,13,0,0,0,0,0,4,0,0,4,0,0,0,0,0,2016-06-09,개별,"전기,무선인터넷,장작판매",계곡 물놀이,7,0,0,0,,,불가능
16,F1 오토캠핑장,지자체,전라남도,영암군,전라남도 영암군 삼호읍 삼포리 1894,70,4227,7788,0,40,0,6,0,0,0,0,0,0,0,0,0,0,0,2012-11-27,개별,"온수,운동장",,0,0,0,0,,,불가능
17,JB 캠핑하우스,민간,경기도,파주시,경기 파주시 적성면 감악산로 1270-74,31,958,9919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-09,개별,,,0,0,0,0,,,불가능
18,Najost Camp,민간,강원도,영월군,강원 영월군 김삿갓면 김삿갓로 638,33,375,3215,0,20,0,0,0,0,12,0,0,9,0,0,20,0,0,2015-10-07,개별,"전기,무선인터넷,장작판매,온수",계곡 물놀이,20,0,0,0,"여름물놀이,가을단풍명소","릴선,화로대",불가능
19,THATS CAMPING 횡성자연휴양림야영장,민간,강원도,횡성군,강원도 횡성군 갑천면정포로430번길 113 ,33,344,3391,0,60,5,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-29,개별,"전기,장작판매,온수,물놀이장,놀이터,운동장,운동시설,마트_편의점","산책로,강/물놀이",0,0,0,0,"가을단풍명소,걷기길",,불가능
20,The Star 오토캠핑장,민간,전라남도,여수시,전남 여수시 돌산읍 상하동길 268,61,641,1490,9,19,0,2,0,0,4,4,0,4,8,0,15,13,0,2018-01-15,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","산책로,낚시,해수욕,청소년체험시설",18,0,0,0,"일출명소,일몰명소,낚시,봄꽃여행,여름물놀이,가을단풍명소,걷기길",화로대,가능
21,VIP레저타운,민간,강원도,원주시,강원도 원주시 지정면 지정로 1393,31,774,7771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-07-11,,,,0,0,0,0,,,가능
22,VIP오토캠핑장,민간,경상남도,밀양시,경남 밀양시 단장면 고례3길 10-11,,,,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-26,개별,"전기,트렘폴린","계곡 물놀이,농어촌체험시설",15,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소",,불가능
23,W글램핑,민간,경상남도,산청군,경남 산청군 산청읍 웅석봉로285번길 80-20,55,974,3642,1,0,14,0,0,0,0,0,0,0,0,0,15,0,0,2016-05-03,개별,"전기,놀이터,운동시설","수상레저,어린이놀이시설",15,1,0,15,"수상레저,여름물놀이,걷기길",,불가능
24,YC글램핑,민간,경기도,연천군,경기 연천군 미산면 청정로 1049,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-04-10,,"물놀이장,운동시설",,0,0,0,0,,,불가능
25,YELLOW HILL(옐로우힐),민간,강원도,춘천시,강원도 춘천시 동산면 종자리로 224-24,33,262,5656,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-19,,,,0,0,0,0,,,불가능
26,㈜씨스테이 야영장,민간,인천광역시,옹진군,인천광역시 옹진군 영흥면 내리 1212-52,,,,13,0,0,0,0,0,7,0,0,20,0,0,13,0,0,2016-02-26,개별,"전기,무선인터넷,온수,물놀이장,운동시설",,8,0,0,0,,,불가능
27,가람펜션캠핑장,민간,경상남도,합천군,경남 합천군 봉산면 인덕로 930,,,,0,22,0,0,0,0,6,0,0,7,0,0,22,0,0,2017-11-14,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설",수상레저,7,0,0,0,"수상레저,낚시",,불가능
28,가래골농원 캠핑장,민간,경기도,포천시,경기 포천시 창수면 포천로2811번길 178,31,533,7410,0,0,0,0,0,0,4,5,0,7,8,0,0,0,0,2016-09-13,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트_편의점","산책로,강/물놀이,농어촌체험시설",90,0,0,0,"액티비티,여름물놀이,걷기길",릴선,가능
29,가루실캠프,민간,충청남도,예산군,충남 예산군 덕산면 가루실길 229-23,,,,21,0,2,0,4,0,15,0,0,8,0,0,27,0,0,2016-03-24,공동취사장,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설","계곡 물놀이,산책로,낚시,어린이놀이시설",15,0,1,0,여름물놀이,"텐트,릴선,화로대",가능(소형견)
30,가리산자연휴양림 야영장,지자체,강원도,홍천군,강원도 홍천군 두촌면 가리산길 426 ,33,435,6034,38,0,0,0,0,0,3,3,0,2,3,0,28,10,0,2015-07-07,개별,"무선인터넷,놀이터,운동시설",,20,0,0,0,"액티비티,가을단풍명소",,불가능
31,가마실캠핑장,민간,충청북도,제천시,충북 제천시 의병대로61길 50 (자작동),43,651,3031,0,31,0,0,0,0,3,3,0,3,6,0,6,5,20,2015-11-09,개별,"전기,장작판매,온수,트렘폴린,물놀이장,운동시설","계곡 물놀이,산책로,낚시,어린이놀이시설",0,0,0,0,"낚시,가을단풍명소,걷기길",화로대,불가능
32,가산 글램핑,민간,경상북도,칠곡군,경북 칠곡군 가산면 학하2길 54-55,54,973,9981,0,0,26,5,0,0,0,0,0,0,0,0,0,0,0,2015-10-19,개별,"전기,온수,트렘폴린,물놀이장,놀이터,산책로,운동시설",산책로,31,0,0,31,,,불가능
33,가산산성 야영장,지자체,경상북도,칠곡군,경상북도 칠곡군 동명면 한티로 1034 ,54,973,8301,200,0,0,0,0,0,4,3,3,7,5,5,71,46,66,2015-07-08,개별,,산책로,34,0,344,0,"봄꽃여행,가을단풍명소",,불가능
34,가야권역 소리마실 영농조합법인,민간,경상남도,합천군,경남 합천군 가야면 가야산로 1267,55,934,2221,0,39,0,0,0,0,10,8,0,10,7,0,9,22,0,2016-06-07,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동장,운동시설","계곡 물놀이,청소년체험시설",39,1,0,0,"여름물놀이,가을단풍명소,걷기길",,가능(소형견)
35,가야랜드달빛야영장,민간,경상남도,김해시,경남 김해시 신어산길 67 (삼방동),55,332,9100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-04-28,,"전기,장작판매,온수,운동시설",,0,0,0,0,,,불가능
36,가온누리캠핑체험장,민간,경상북도,경주시,경북 경주시 안강읍 호국로 2037,54,762,2000,46,0,0,0,0,0,6,0,0,8,0,0,46,0,0,2015-07-22,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트_편의점","산책로,낚시,어린이놀이시설",30,30,30,0,"여름물놀이,가을단풍명소,걷기길","릴선,화로대,난방기구,식기,침낭",불가능
37,가우도카라반펜션,민간,전라남도,강진군,전남 강진군 대구면 저두바닷길 3,61,434,6633,5,0,0,6,0,0,3,0,0,6,0,0,5,0,0,2015-12-23,개별,"전기,무선인터넷,온수,물놀이장,놀이터,운동시설","산책로,수상레저,낚시",6,0,0,0,"일출명소,일몰명소,수상레저,낚시",,불가능
38,가은해솔캠핑장,민간,경상북도,문경시,경상북도 문경시 가은읍 원북리 177-6,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-15,개별,"전기,장작판매,온수,물놀이장","계곡 물놀이,낚시,어린이놀이시설",8,0,0,0,여름물놀이,,불가능
39,변산오토캠핑장,지자체,전라북도,부안군,전북 부안군 변산면 변산로 2054,1670,3639,,0,29,0,5,0,0,0,0,0,0,0,0,0,0,0,2022-02-10,개별,"전기,무선인터넷,장작판매,온수","낚시,해수욕",35,0,0,0,"일몰명소,여름물놀이,걷기길",화로대,불가능
40,가족쉼터,지자체,경기도,남양주시,경기 남양주시 수동면 비룡로 1603,31,591,1585,30,25,2,0,0,0,0,0,0,0,0,0,0,0,0,2015-08-20,개별,"전기,무선인터넷,장작판매,온수,놀이터,마트_편의점","계곡 물놀이,산책로",60,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소",,불가능
41,청계산 골든밸리 가족캠핑장,민간,경기도,성남시,경기 성남시 수정구 달래내로221번길 17-5 (금토동),,,,18,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-16,개별,"전기,장작판매,온수",,18,1,1,10,,,불가능
42,가창농원 야영장,민간,대구광역시,달성군,대구 달성군 가창면 가창로10길 56,,,,8,8,0,0,0,0,10,6,5,6,6,6,3,4,1,2016-06-08,개별,"전기,무선인터넷,온수,물놀이장,운동장",,10,0,0,0,,,불가능
43,가평사계절캠핑장,민간,경기도,가평군,경기도 가평군 가화로 988,31,582,7883,25,23,0,0,23,0,0,0,0,0,0,0,23,2,0,2016-07-28,개별,"전기,무선인터넷,온수,트렘폴린,마트_편의점","계곡 물놀이,산책로,낚시,어린이놀이시설",16,1,0,2,"일몰명소,낚시,봄꽃여행,여름물놀이,걷기길",화로대,불가능
44,가평 사과나무 캠핑장,민간,경기도,가평군,경기도 가평군 상면 항사리 427-6,,,,10,0,0,0,0,0,3,0,0,6,0,0,10,0,0,2015-10-19,개별,"전기,장작판매,놀이터",,8,0,0,0,"일출명소,봄꽃여행,가을단풍명소",,불가능
45,가평황토은글램핑,민간,경기도,가평군,경기 가평군 설악면 장수로79번길 63-18,31,584,2963,0,0,4,0,0,0,4,0,0,6,0,0,4,0,0,2017-05-26,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동장,운동시설,마트_편의점","계곡 물놀이,운동장,강/물놀이,농어촌체험시설",4,0,0,4,"일출명소,일몰명소,봄꽃여행,여름물놀이,가을단풍명소,걷기길",,불가능
46,흑석산 자연 휴양림,지자체,전라남도,해남군,전라남도 해남군 계곡면 산골길 306 ,61,530,5738,0,13,0,0,0,0,0,0,0,0,0,0,13,0,0,2015-05-08,,"전기,물놀이장,놀이터","산책로,강/물놀이",0,0,0,0,"봄꽃여행,걷기길",,불가능
47,각화산캠핑장,민간,경상북도,봉화군,경상북도 봉화군 춘양면 석현리 573-2 ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-03-28,,"전기,온수,놀이터",,0,0,0,0,,,불가능
48,주식회사 클럽 프라비다,민간,경기도,포천시,경기도 포천시 이동면 도평리 572-3,31,536,8868,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-31,개별,"전기,무선인터넷,장작판매,온수,운동시설","계곡 물놀이,산책로,청소년체험시설",6,0,1,4,"봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",,불가능
49,간월도캠핑장,지자체,충청남도,서산시,충청남도 서산시 부석면 간월도리 21-20 ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-08-17,,"전기,장작판매,온수,산책로",,0,0,0,0,,,불가능
50,갈기산펜션캠핑장,민간,경기도,양평군,경기 양평군 청운면 신론새터길 23,,,,12,0,0,0,0,0,5,0,0,7,0,0,12,0,0,2015-07-07,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장","계곡 물놀이,산책로,청소년체험시설",6,0,0,0,,,불가능
51,갈천 오토캠핑장,민간,강원도,양양군,강원도 양양군 서면 구룡령로 1103-12 ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-07-25,,"전기,무선인터넷,장작판매,온수,놀이터,운동시설",계곡 물놀이,0,0,0,0,,,불가능
52,감 이야기 캠핑장,민간,경상북도,청도군,경북 청도군 운문면 신원4길 18,,,,20,0,0,0,0,0,6,0,0,7,0,0,20,0,0,2016-05-23,개별,"전기,무선인터넷,장작판매,트렘폴린,물놀이장,놀이터,운동시설","계곡 물놀이,산책로,어린이놀이시설",10,1,1,0,"여름물놀이,걷기길","텐트,릴선,화로대,식기",불가능
53,감악산캠핑숲,민간,강원도,원주시,강원 원주시 신림면 신림황둔로 714,,,,59,0,0,0,0,0,6,7,0,9,8,0,15,44,0,2015-04-29,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설","계곡 물놀이,산책로",50,0,0,0,"여름물놀이,가을단풍명소","릴선,화로대,난방기구",불가능
54,강나루 오토캠핑장,지자체,경상남도,함안군,경상남도 함안군 칠서면 이룡리 998,55,586,2510,0,190,0,0,0,0,9,11,0,9,8,0,77,60,0,2014-05-15,개별,"전기,무선인터넷,장작판매,온수,놀이터,산책로,운동시설,마트_편의점",,30,0,0,0,,,불가능
55,강나루 캠핑장,민간,경상남도,합천군,"경남 합천군 가회면 둔내리 563-6, 563-7",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-07-02,개별,전기,,0,0,0,0,,,불가능
56,강당골캠핑파크,민간,충청남도,아산시,충남 아산시 송악면 강당로 187-17,41,544,6977,9,0,0,0,0,0,6,0,0,7,0,0,9,0,0,2017-07-19,개별,"전기,장작판매,온수,트렘폴린,물놀이장,운동시설","계곡 물놀이,산책로,낚시",6,0,0,4,여름물놀이,,불가능
57,강동 그린웨이 가족캠핑장,지자체,서울특별시,강동구,서울 강동구 천호대로206길 87 (둔촌동),2,2045,7881,67,0,0,0,0,0,3,6,0,5,7,0,62,5,0,2018-10-08,불가,"전기,무선인터넷,산책로,운동장,마트_편의점",산책로,67,1,0,52,"봄꽃여행,가을단풍명소,걷기길",,불가능
58,강릉 노추산 힐링캠프,민간,강원도,강릉시,강원 강릉시 왕산면 노추산로 1271-6,,,,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,2016-05-20,개별,"전기,장작판매,놀이터,산책로","계곡 물놀이,산책로,낚시",0,0,0,0,"여름물놀이,가을단풍명소",,가능
59,강변사리 캠핑장,민간,전라북도,임실군,전라북도 임실군 덕치면 강동로 865-20,63,642,5351,14,0,5,0,0,0,0,0,0,0,0,0,14,0,0,2017-04-27,개별,"전기,장작판매,온수,물놀이장,놀이터,운동장,운동시설","계곡 물놀이,청소년체험시설",10,0,0,0,"봄꽃여행,여름물놀이",,불가능
60,강변 야영장,민간,강원도,인제군,강원도 인제군 북면 만해로 237,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-30,개별,"전기,온수",계곡 물놀이,6,0,0,0,,,불가능
61,강변오토캠핑장,민간,충청북도,괴산군,충북 괴산군 괴산읍 충민로 317,43,832,7815,50,0,0,0,0,0,7,6,6,6,8,10,16,18,16,2015-06-09,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트_편의점","계곡 물놀이,산책로,낚시,어린이놀이시설",19,0,0,6,"낚시,여름물놀이,걷기길","텐트,릴선,화로대,난방기구,식기",가능(소형견)
62,강원도산림개발연구원 집다리골자연휴양림,자연휴양림,강원도,춘천시,강원도 춘천시 사북면 지암리 산5,33,243,1442,35,0,0,0,0,0,0,0,0,0,0,0,35,0,0,2015-06-11,개별,"물놀이장,놀이터,산책로,운동시설","계곡 물놀이,산책로",18,0,0,0,"여름물놀이,가을단풍명소",,불가능
63,강원도힐링캠핑장,민간,강원도,원주시,강원 원주시 신림면 재사동길 10-38,,,,100,0,0,0,0,0,6,0,0,8,0,0,100,0,0,2015-05-27,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설",계곡 물놀이,50,0,0,0,여름물놀이,"릴선,화로대",불가능
64,큐브빌리지글램핑,민간,전라남도,강진군,전남 강진군 대구면 청자로 1339-74,,,,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2020-04-23,개별,"전기,온수,트렘폴린,물놀이장,놀이터","산책로,수상레저,낚시,수영장,농어촌체험시설",17,0,0,17,"일출명소,일몰명소,낚시,액티비티,봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길","릴선,화로대",가능
65,뜨란채,민간,전라북도,순창군,전북 순창군 팔덕면 강천로 664-26,63,653,1306,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2016-07-20,불가,"전기,무선인터넷,온수,물놀이장,놀이터",계곡 물놀이,7,0,0,7,"여름물놀이,가을단풍명소,걷기길",,불가능
66,강촌관광농원,지자체,강원도,춘천시,강원 춘천시 남산면 오양골길 134,33,261,8214,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,2015-08-19,개별,"온수,물놀이장,놀이터,운동장","계곡 물놀이,운동장,강/물놀이",0,0,0,0,가을단풍명소,,불가능
67,강촌달머리캠핑장,민간,강원도,춘천시,강원 춘천시 서면 율장길 123-39,,,,60,0,0,0,0,0,4,6,0,6,8,0,21,39,0,2016-03-16,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,마트_편의점",수상레저,3,0,0,0,"수상레저,스키,낚시,액티비티","텐트,릴선,화로대,난방기구,침낭",불가능
68,강촌하늘아래,민간,강원도,춘천시,강원 춘천시 남산면 풀무골1길 71,,,,30,0,16,0,0,0,8,0,0,8,0,0,30,0,0,2015-05-08,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동장,마트_편의점",강/물놀이,2,0,0,1,"수상레저,스키,액티비티,여름물놀이,가을단풍명소","텐트,릴선,화로대,난방기구",불가능
69,강촌포도펜션오토캠핑장,민간,강원도,춘천시,강원도 춘천시 남산면 백양리 266-2,,,,15,0,0,0,0,0,4,4,0,6,13,0,6,1,0,2015-09-04,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,운동시설",계곡 물놀이,12,0,0,0,"스키,액티비티,여름물놀이",,불가능
70,강화고인돌 캠핑장,민간,인천광역시,강화군,인천광역시 강화군 하점면 장정리 989,,,,0,0,0,0,0,0,4,5,0,7,7,0,0,0,0,2017-03-22,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","운동장,낚시,해수욕",11,0,0,0,"낚시,봄꽃여행",화로대,불가능
71,강화도산들애농원캠핑수영장,민간,인천광역시,강화군,인천 강화군 강화읍 고비고개로 171,,,,35,0,0,0,0,0,6,0,0,8,0,0,35,0,0,2015-12-04,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",산책로,35,0,0,0,,"텐트,릴선,화로대,난방기구,식기,침낭",불가능
72,강화캠핑파크,민간,인천광역시,강화군,인천광역시 강화군 길상면 신촌로146번길 14-11 ,,,,30,30,15,0,0,0,0,0,0,0,0,0,0,0,0,2015-04-20,개별,"전기,온수,운동시설",,0,0,0,0,,"난방기구,침낭",불가능
73,개금불 어뮤니티,민간,경상남도,합천군,경남 합천군 묘산면 봉곡1길 24-11,,,,0,10,0,0,0,0,12,0,0,8,0,0,10,0,0,2015-11-06,개별,"전기,온수,놀이터,마트_편의점",,10,0,0,0,"수상레저,항공레저,가을단풍명소",,불가능
74,개미들솔향기야영장,민간,강원도,정선군,강원도 정선군 남면 광락로 354 ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-07-27,개별,"전기,장작판매,온수",,0,0,0,0,,,불가능
75,개암벌 용소 관광농원 캠핑장,민간,강원도,홍천군,강원 홍천군 두촌면 군유동길 361-26,33,435,9720,18,0,0,0,0,0,6,0,0,6,0,0,18,0,0,2015-06-29,개별,"전기,장작판매,온수,놀이터,운동시설",계곡 물놀이,10,0,0,0,"여름물놀이,가을단풍명소",,가능(소형견)
76,거북바위 야영장,민간,경기도,양평군,경기도 양평군 서종면 서후리 234-1 번지,,,,18,0,0,0,0,0,7,0,0,8,0,0,18,0,0,2017-08-03,,"전기,장작판매,온수,운동시설",계곡 물놀이,10,0,0,0,,,불가능
77,거제글램퍼스,민간,경상남도,거제시,경남 거제시 일운면 망치4길 38 ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-07-22,개별,"전기,온수,놀이터,산책로","산책로,수상레저,낚시",0,0,0,0,"일출명소,일몰명소,낚시,액티비티,여름물놀이,걷기길",,불가능
78,거제자연휴양림,지자체,경상남도,거제시,경상남도 거제시 동부면 거제중앙로 325 ,55,639,4354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-07-17,,"온수,놀이터,운동시설",,0,0,0,0,,,불가능
79,거창A글램핑,민간,경상남도,거창군,경남 거창군 마리면 세동길 7,,,,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,2017-07-28,개별,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설",,15,0,0,0,,,불가능
80,경주 힐링캠프,민간,경상북도,경주시,경상북도 경주시 산내면 감산리 1456번지,,,,0,12,17,0,0,0,0,0,0,0,0,0,12,0,0,2017-04-26,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트_편의점","계곡 물놀이,산책로,수상레저,낚시,해수욕,어린이놀이시설",33,0,0,17,"봄꽃여행,여름물놀이,가을단풍명소,걷기길",,불가능
81,별자리 캠핑랜드,민간,경상북도,경주시,경북 경주시 반구대로 3501-34 (배동),507,1342,2108,0,0,48,16,0,1,0,0,0,0,0,0,0,0,0,2022-02-21,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,마트_편의점,덤프스테이션","산책로,수상레저,낚시,강/물놀이,어린이놀이시설",60,1,1,60,"일몰명소,봄꽃여행,여름물놀이,가을단풍명소,걷기길",,가능
82,경주초우오토캠핑장,민간,경상북도,경주시,경상북도 경주시 동방동 산업로 3549-30 ,54,701,2900,0,41,0,0,0,0,8,0,0,6,0,0,41,0,0,2015-07-06,개별,"전기,장작판매,온수,트렘폴린,물놀이장,운동시설,마트_편의점","산책로,수상레저",20,0,0,5,"수상레저,봄꽃여행,가을단풍명소,걷기길",,불가능
83,강화카라반캠핑장,민간,인천광역시,강화군,인천광역시 강화군 길상면 초지리 1320-1,31,932,8188,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,2016-11-18,개별,"전기,무선인터넷,온수,산책로",낚시,1,1,1,2,"일몰명소,낚시,걷기길","식기,침낭",불가능
84,경호강 캠핑장,민간,경상남도,산청군,경상남도 산청군 단성면 방목리 627 ,,,,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-25,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동시설","산책로,강/물놀이,농어촌체험시설,어린이놀이시설",0,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소,걷기길",,불가능
85,계곡과소나무 캠핑장,민간,경기도,포천시,경기도 포천시 일동면 무리울길 299,,,,0,38,0,0,0,0,6,7,6,15,12,10,10,4,14,2016-07-04,개별,"전기,장작판매,온수,놀이터,산책로,운동장,운동시설",계곡 물놀이,20,2,2,3,"봄꽃여행,여름물놀이,가을단풍명소",,불가능
86,계룡산글램핑 동월숲,민간,충청남도,공주시,충남 공주시 반포면 계룡대로 1352,70,5055,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-22,,"물놀이장,운동시설",,0,0,0,0,,,불가능
