번호,야영장명,사업주체_구분,도,시군구,주소,연락처 앞자리,연락처 중간자리,연락처 끝자리,주요시설 일반야영장,주요시설 자동차야영장,주요시설 글램핑,주요시설 카라반,주요시설 개인 카라반,주요시설 덤프스테이션,사이트 크기1 가로,사이트 크기2 가로,사이트 크기3 가로,사이트 크기1 세로,사이트 크기2 세로,사이트 크기3 세로,사이트 크기1 수량,사이트 크기2 수량,사이트 크기3 수량,인허가일자,화로대,부대시설,주변이용가능시설,소화기 개수,방화수 개수,방화사 개수,화재감지기 개수,테마환경,캠핑장비대여,반려동물출입
1581,별밤펜션 캠핑장,민간,충청북도,영동군,충북 영동군 상촌면 물한계곡로 896,,,,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,2018-03-12,개별,"전기,무선인터넷,장작판매,온수,물놀이장,운동장,운동시설","계곡 물놀이,산책로,낚시,어린이놀이시설",5,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길","릴선,화로대",가능(소형견)
1582,별빛캠핑장,민간,강원도,영월군,강원도 영월군 양지마을길 38-11 ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-08-25,개별,,,0,0,0,0,,,불가능
1583,별자리 농원,민간,경기도,양평군,경기 양평군 서종면 서정로 361-3,31,774,3213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-04-23,,"전기,온수,운동시설",,0,0,0,0,,,불가능
1584,분지울작은캠프장,민간,경기도,양평군,경기도 양평군 단월면 명성리 98-1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-10-15,,,,0,0,0,0,,,불가능
1585,비체올린,민간,제주특별자치도,제주시,제주특별자치도 제주시 한경면 판포리 725 ,64,773,0,16,3,0,0,0,0,7,0,0,12,0,0,17,0,0,2015-06-08,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장,운동시설",,17,0,0,0,,,불가능
1586,산골캠핑장,민간,강원도,영월군,강원 영월군 무릉도원면 백년계곡길 158,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-10-25,개별,,,0,0,0,0,,,불가능
1587,산중오토캠핑장,민간,경상남도,거창군,경상남도 거창군 북상면 송계사길 63-107,,,,0,10,0,0,0,0,8,0,0,9,0,0,10,0,0,2018-11-06,개별,"전기,장작판매,온수,물놀이장,산책로,운동장","산책로,청소년체험시설,농어촌체험시설",15,2,5,0,"일출명소,봄꽃여행,여름물놀이,가을단풍명소,걷기길","릴선,화로대",불가능
1588,새연카라반리조트,민간,경기도,가평군,경기 가평군 조종면 운악청계로333번길 86,31,585,,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,2015-08-07,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트_편의점","계곡 물놀이,산책로,운동장,강/물놀이,농어촌체험시설",26,0,0,26,"일몰명소,액티비티,봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소",화로대,가능(소형견)
1589,샛별글램핑,민간,충청남도,태안군,충남 태안군 안면읍 샛별길 238-10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-06-14,개별,"전기,온수,물놀이장,산책로",,0,0,0,0,,,불가능
1590,서산글램핑,지자체,충청남도,서산시,충남 서산시 대산읍 오지검은고지길 1-10,41,665,6887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-07-07,개별,"전기,물놀이장,산책로,운동시설",,0,0,0,0,,,불가능
